Model,Accuracy,Precision,Recall,F1_Score
Random Forest,0.9890453834115805,0.9869565217391304,0.990185387131952,0.9885683179096353
Gradient Boosting,0.980699008868023,0.9741379310344828,0.9858233369683751,0.9799457994579945
Logistic Regression,0.9520083463745436,0.9402347918890075,0.960741548527808,0.9503775620280475
